,particle,frame,t,x,y,state,x_tether,y_tether
0,0,0,0.0,0.0,0.0,0,0.0,0.0
1,0,1,10.0,3.3561197752384873,4.20633328617713,0,0.0,0.0
2,0,2,20.0,-5.3691748414097225,-1.617190506325465,0,0.0,0.0
3,0,3,30.0,-4.797455177903664,-3.0314703740474735,0,0.0,0.0
4,0,4,40.0,-4.872592238464205,-6.846398793743338,0,0.0,0.0
5,0,5,50.0,-0.9398049363263326,-3.3680075138028274,1,-0.9398049363263326,-3.3680075138028274
6,0,6,60.0,-0.8737742388331662,-2.2407663079965032,1,-0.9398049363263326,-3.3680075138028274
7,0,7,70.0,-0.4722925967670629,-4.22724879912893,1,-0.9398049363263326,-3.3680075138028274
8,0,8,80.0,-0.5710329275964806,-4.326929123137627,1,-0.9398049363263326,-3.3680075138028274
9,0,9,90.0,-0.061337893701075785,-3.4179769597113396,1,-0.9398049363263326,-3.3680075138028274
10,0,10,100.0,-1.1246274173390445,-4.048939326114353,1,-0.9398049363263326,-3.3680075138028274
11,0,11,110.0,0.2827280101601184,-3.522567909968827,0,-0.9398049363263326,-3.3680075138028274
12,0,12,120.0,-1.6328122438621793,-5.097357022068898,0,-0.9398049363263326,-3.3680075138028274
13,0,13,130.0,0.7477468040274942,-3.463041482285123,0,-0.9398049363263326,-3.3680075138028274
14,0,14,140.0,2.59354315614679,-1.5363513845645886,0,-0.9398049363263326,-3.3680075138028274
15,0,15,150.0,12.171282394938169,-3.353894591989971,1,12.171282394938169,-3.353894591989971
16,0,16,160.0,11.659039666394538,-4.167667319399193,1,12.171282394938169,-3.353894591989971
17,0,17,170.0,12.787238561094952,-2.2249592456572387,1,12.171282394938169,-3.353894591989971
18,0,18,180.0,12.057362901767405,-4.193999814501224,1,12.171282394938169,-3.353894591989971
19,0,19,190.0,11.346796008159632,-2.703339945553851,1,12.171282394938169,-3.353894591989971
20,0,20,200.0,12.91449913375158,-2.810710789109283,0,12.171282394938169,-3.353894591989971
21,0,21,210.0,9.938249243384565,-1.7724537888623324,0,12.171282394938169,-3.353894591989971
22,0,22,220.0,10.460084045881034,-0.7944486524821102,1,10.460084045881034,-0.7944486524821102
23,0,23,230.0,11.331512822931149,-0.5708531039378603,1,10.460084045881034,-0.7944486524821102
24,0,24,240.0,11.13903717105853,-0.726859431840665,1,10.460084045881034,-0.7944486524821102
25,0,25,250.0,10.749234268697254,-0.16315735874829096,1,10.460084045881034,-0.7944486524821102
26,0,26,260.0,9.002941354926886,-1.1140912079295706,1,10.460084045881034,-0.7944486524821102
27,0,27,270.0,9.989645237897172,-1.433341011816606,1,10.460084045881034,-0.7944486524821102
28,0,28,280.0,10.184920437049067,0.7004636515433943,1,10.460084045881034,-0.7944486524821102
29,0,29,290.0,9.594240438671582,0.1738975700250892,1,10.460084045881034,-0.7944486524821102
30,0,30,300.0,8.777174966760604,-1.1292897192722726,1,10.460084045881034,-0.7944486524821102
31,0,31,310.0,10.622760706864321,-0.20824152348789304,0,10.460084045881034,-0.7944486524821102
32,0,32,320.0,13.803462666507325,3.3397151718492006,0,10.460084045881034,-0.7944486524821102
33,0,33,330.0,12.243916732495261,1.2720150960154788,0,10.460084045881034,-0.7944486524821102
34,0,34,340.0,16.08090151958783,0.41647614636548813,0,10.460084045881034,-0.7944486524821102
35,0,35,350.0,10.375858845687091,-4.651738350720781,0,10.460084045881034,-0.7944486524821102
36,0,36,360.0,6.263943218552728,-2.4283679118235995,0,10.460084045881034,-0.7944486524821102
37,0,37,370.0,6.900890473751184,0.659576466503482,0,10.460084045881034,-0.7944486524821102
38,0,38,380.0,4.99015855220085,1.3685875192621817,0,10.460084045881034,-0.7944486524821102
39,0,39,390.0,7.787883846164528,-0.014852263575402036,0,10.460084045881034,-0.7944486524821102
40,0,40,400.0,9.830644809398501,-2.9750750641665062,0,10.460084045881034,-0.7944486524821102
41,0,41,410.0,8.207018648573943,-4.682258825302252,0,10.460084045881034,-0.7944486524821102
42,0,42,420.0,2.859061173121244,-2.50445168488571,0,10.460084045881034,-0.7944486524821102
43,0,43,430.0,0.7598300901396979,-2.4485762872975854,0,10.460084045881034,-0.7944486524821102
44,0,44,440.0,2.9097945086787322,-0.45162815994582606,0,10.460084045881034,-0.7944486524821102
45,0,45,450.0,5.885487178437243,-0.8920686362659735,0,10.460084045881034,-0.7944486524821102
46,0,46,460.0,3.9924395774539514,-1.2485793135287204,0,10.460084045881034,-0.7944486524821102
47,0,47,470.0,-3.553549412758618,-7.7202630323803465,0,10.460084045881034,-0.7944486524821102
48,0,48,480.0,-9.468841906832747,-12.1800864261062,0,10.460084045881034,-0.7944486524821102
49,0,49,490.0,-7.680997213620712,-16.229511866080983,0,10.460084045881034,-0.7944486524821102
50,0,50,500.0,-9.372191568374738,-10.41918628179902,0,10.460084045881034,-0.7944486524821102
51,0,51,510.0,-10.965452482829471,-7.120916390685407,0,10.460084045881034,-0.7944486524821102
52,0,52,520.0,-15.140717677824934,-8.039661079732541,0,10.460084045881034,-0.7944486524821102
53,0,53,530.0,-19.38934546763313,-9.555863088401548,0,10.460084045881034,-0.7944486524821102
54,0,54,540.0,-15.631373232831184,-17.28067485876514,0,10.460084045881034,-0.7944486524821102
55,0,55,550.0,-13.688571636827835,-16.21748892379148,0,10.460084045881034,-0.7944486524821102
56,0,56,560.0,-16.345691016360878,-22.68445624741163,0,10.460084045881034,-0.7944486524821102
57,0,57,570.0,-16.023118051497264,-25.052419629525993,0,10.460084045881034,-0.7944486524821102
